emg,gesture
;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0;;-4;;-5;-17;;;0;;12;;-4;;;6;;;0,1
;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2;;7;11;19;;5;;1;;0;-2;;2,1
-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2;-10;-15;-15;-16;-17;;-7;;;1;;-2,1
;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4;;;3;;;0;-17;;-5;;-8;;;0;;-8;;-4,1
-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2;-5;;3;;8;;4;-7;-6;-7;;2,1
;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3;;;5;-34;;-8;;11;;14;;-1;;;0;;-3,1
;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11;;3;26;35;;3;;7;;7;11;11,1
-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4;-13;;-3;-32;-10;;-8;-12;-11;;-4,1
13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5;13;;6;;1;-5;;0;;4;-2;;5,1
;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16;;-8;-31;;-3;;-6;-10;;-4;;-5;-16,1
